animal_id,timestamp,utm_x,utm_y,days_from_peak
L0,2020-06-01T00:00:00,0,0,8
L0,2020-06-01T03:00:00,0,0,1
L1,2020-06-02T00:00:00,0,0,8
L1,2020-06-02T03:00:00,1,0,1
L2,2020-06-03T00:00:00,0,0,8
L2,2020-06-03T03:00:00,1,0,1
L3,2020-06-04T00:00:00,0,0,8
L3,2020-06-04T03:00:00,1,0,1
L4,2020-06-05T00:00:00,0,0,8
L4,2020-06-05T03:00:00,2,0,1
L5,2020-06-06T00:00:00,0,0,8
L5,2020-06-06T03:00:00,2,0,1
L6,2020-06-07T00:00:00,0,0,8
L6,2020-06-07T03:00:00,2,0,1
L7,2020-06-08T00:00:00,0,0,8
L7,2020-06-08T03:00:00,3,0,1
