animal_id,timestamp,utm_x,utm_y,days_from_peak
A,2020-04-01T00:00:00,0,0,16
A,2020-04-01T01:00:00,1,0,8
A,2020-04-01T02:00:00,0,0,4
A,2020-04-01T03:00:00,0,1,2
A,2020-04-01T04:00:00,0,0,1
A,2020-04-01T05:00:00,1,0,0.5
A,2020-04-01T06:00:00,0,0,0.25
A,2020-04-01T07:00:00,0,1,0.125
A,2020-04-01T08:00:00,0,0,0.0625
A,2020-04-01T09:00:00,1,0,0.03125
A,2020-04-01T10:00:00,0,0,0.015625
A,2020-04-01T11:00:00,0,1,0.0078125
A,2020-04-01T12:00:00,0,0,0.00390625
A,2020-04-01T13:00:00,1,0,0.001953125
A,2020-04-01T14:00:00,0,0,0.0009765625
A,2020-04-01T15:00:00,0,1,0.00048828125
A,2020-04-01T16:00:00,0,0,0.000244140625
A,2020-04-01T17:00:00,1,0,0.0001220703125
A,2020-04-01T18:00:00,0,0,0.00006103515625
A,2020-04-01T19:00:00,0,1,0.000030517578125
A,2020-04-01T20:00:00,0,0,0.0000152587890625
